course_code,course,course_title,description,themes,flag,prereq_courses,coreq_courses,flag_to_check
BIOL_V,BIOL_V 417,Phylogenetic Biology,"Biodiversity from an evolutionary perspective. The evolutionary (phylogenetic) tree of genetic descent that links all organisms: its reconstruction, interpretation, and implications for fields from ecology to molecular biology. [2-0-2] Prerequisite: BIOL 200 and one of BIOL 233, BIOL 234. BIOL 336 is recommended",[],,"['BIOL_V 200', 'BIOL_V 233', 'BIOL_V 234']",[],[]
CHEM_V,CHEM_V 100,Foundations of Chemistry,"Atomic and molecular properties, chemical reactions, bonding, nomenclature, kinetics, equilibrium processes, acids and bases, oxidation and reduction.  Intended for students who do not receive a satisfactory score on the UBC Chemistry Basic Skills Test, and need to establish a foundation of chemistry skills before proceeding to other first year chemistry courses. This course is not eligible for Credit/D/Fail grading. [3-0-1] Prerequisite: Not open to students with credit for Chemistry 12.  Permission of the department head.",[],Permission of the department head,[],[],[]
MATH_V,MATH_V 335,Introduction to Mathematics,"Intensive course with required tutorial. Combinatorics, probability, geometry and elementary number theory. Not for credit in the Faculty of Science. Students who obtain credit at UBC for any other mathematics course cannot in the same or later years obtain credit for MATH 335. Please consult the Faculty of Science Credit Exclusion List: https://vancouver.calendar.ubc.ca/faculties-colleges-and-schools/faculty-science/bachelor-science/credit-exclusion-lists [3-0-2]",[],,[],[],[]
CHEM_V,CHEM_V 111,"Structure, Bonding, and Equilibrium in Chemistry","Fundamentals of bonding theories, structural chemistry and equilibrium with applications relevant to modern society. [3-3-1] Prerequisite: Not open to students with credit for CHEM 12. A satisfactory score on the UBC Chemistry Basic Skills Test.",[],A satisfactory score on the UBC Chemistry Basic Skills Test,[],[],[]
CHEM_V,CHEM_V 115,Introductory Chemical Laboratory I,"An introduction to the principles and techniques of the chemistry laboratory. [0-3-0] Prerequisite: One of CHEM 110, CHEM 120.",[],,"['CHEM_V 110', 'CHEM_V 120']",[],[]
CHEM_V,CHEM_V 121,Structure and Bonding in Chemistry,"Fundamentals of bonding theories and structural chemistry, with applications relevant to modern society. [3-3-0] Prerequisite: One of CHEM 12, CHEM 100. Equivalency: CHEM141",['Sustainability'],Equivalency: CHEM141,['CHEM_V 100'],[],['CHEM141']
PHYS_V,PHYS_V 108,Enriched Physics II,"Electricity and magnetism, electrical circuits, induction, electromagnetic waves, Maxwell's equations and applications. [3-0-1] Prerequisite: Either (a) one of PHYS 106, PHYS 107 or (b) a score of 85% or higher in one of PHYS 101, PHYS 117, PHYS 131. Corequisite: MATH101,MATH103,MATH105,MATH121",[],,"['PHYS_V 106', 'PHYS_V 107', 'PHYS_V 101', 'PHYS_V 117', 'PHYS_V 131']","['MATH_V 101', 'MATH_V 103', 'MATH_V 105', 'MATH_V 121']",[]
CHEM_V,CHEM_V 141,"Chemical Bonding, Molecular Structure and Properties for Lab Sciences","Bonding theories, their predictions, experimental tests, and consequences regarding chemical structure and observable properties. Applications relevant to modern society are emphasized. For students interested in lab-focused sciences such as Chemistry, Physics, Biochemistry, Microbiology and related disciplines. Restricted to students in the Faculty of Science. [3-3-0] Prerequisite: One of CHEM 12, CHEM 100. Equivalency: CHEM121",[],Equivalency: CHEM121,['CHEM_V 100'],[],['CHEM121']
SCIE_V,SCIE_V 113,First-Year Seminar in Science,"Small-group experience where students study science in society, scientific process, and how to communicate scientific concepts.  Enrolment limited to students in the B. Sc. program in Science. This course is not eligible for Credit/D/Fail grading. [3-0-0]",[],,[],[],[]
CHEM_V,CHEM_V 560,Organic Chemistry: Building Molecules and Understanding Reactivity,Credit will be granted for only one of CHEM 460 or CHEM 560. This course is not eligible for Credit/D/Fail grading.,[],,[],[],[]
SCIE_V,SCIE_V 300,Communicating Science,"Effective communication and presentation skills in science. [1-0-3] Corequisite: One of BIOL 300, STAT 200, STAT 241. and 3rd or 4th year standing in Combined Major in Science.",[],and 3rd or 4th year standing in Combined Major in Science,[],"['BIOL_V 300', 'STAT_V 200', 'STAT_V 241']",[]
MATH_V,MATH_V 230,Marvels of Mathematics,"A variety of topics in mathematics, showcasing its beauty and utility. Intended for a general audience of students whose degrees have no mathematics requirements, but who may be curious about practical and recreational mathematics. Not for credit in the Faculty of Science. Students who obtain UBC credit for any other mathematics course cannot in the same or later years obtain credit for MATH 230. [3-0-0]",[],,[],[],[]
MATH_V,MATH_V 560,Mathematical Biology,"Mathematical methods in modelling biological processes, at levels from cell biochemistry to community ecology. This course is not eligible for Credit/D/Fail grading.",[],,[],[],[]
MATH_V,MATH_V 562,Mathematical Electrophysiology,"Formulation and analysis of models of excitable media.  FitzHugh-Nagumo model, ionic models of membrane excitability (e.g., Hodgkin-Huxley), calcium excitability, bursting phenomena. This course is not eligible for Credit/D/Fail grading.",[],,[],[],[]
PHYS_V,PHYS_V 100,Introductory Physics,"Kinematics, force, energy, momentum, use of graphs and vectors in physics; thermal energy, heat transfer, Earth's energy balance; electricity. Students with credit for Physics 12 may not obtain credit for this course unless they took AP, IB, or A-level Physics and were offered advanced credit for PHYS 100. [3-0-2] Prerequisite: Not open to students with credit for PHYS 12. Principles of Mathematics 12 or Pre-calculus 12 is required; Physics 11 is required for first-year students, strongly recommended for others.",[],"Principles of Mathematics 12 or Pre-calculus 12 is required; Physics 11 is required for first-year students, strongly recommended for others",[],[],[]
PHYS_V,PHYS_V 106,Enriched Physics 1 (lecture),"Classical mechanics including conservation laws, angular momentum of rigid bodies and simple harmonic motion, wave phenomena, with an introduction to special relativity, quantum mechanics, nuclear physics, statistical mechanics and solid state physics. [3-0-1] Prerequisite: Either (a) a score more than 85% in all of PHYS 12, MATH 12 or (b) a score more than 85% in all of PHYS 12, PREC 12 or (c) a score more than 85% in all of PHYS 12, CALC 12 or (d) a score more than 85% in PHYS 100. PHYS 12 = Physics 12; MATH 12 = Principles of Mathematics 12; PREC 12 = Pre-Calculus 12; CALC 12 = Calculus 12. Corequisite: One of MATH 100, MATH 102, MATH 104, MATH 120, MATH 180, MATH 184.",[],PHYS 12 = Physics 12; MATH 12 = Principles of Mathematics 12; PREC 12 = Pre-Calculus 12; CALC 12 = Calculus 12,['PHYS_V 100'],"['MATH_V 100', 'MATH_V 102', 'MATH_V 104', 'MATH_V 120', 'MATH_V 180', 'MATH_V 184']",[]
PHYS_V,PHYS_V 117,Dynamics and Waves,"Kinematics including curvilinear motion. Forces and Newton's laws of motion. Work-energy theorem, conservation of energy. Conservation of momentum, collisions. Torque, rotational dynamics, angular momentum. Oscillations and waves. [3-0-2] Prerequisite: One of PHYS 12, PHYS 100. Corequisite: One of MATH 100, MATH 102, MATH 104, MATH 110, MATH 120, MATH 180, MATH 184.",[],,['PHYS_V 100'],"['MATH_V 100', 'MATH_V 102', 'MATH_V 104', 'MATH_V 110', 'MATH_V 120', 'MATH_V 180', 'MATH_V 184']",[]
PHYS_V,PHYS_V 499,Co-operative Work Placement V,Approved and supervised technical work experience in an industrial research setting for a minimum of 3.5 months. Normally taken during the summer following the fourth year. Technical report required. Restricted to students admitted to the Co-operative Education Program in Physics. This course is not eligible for Credit/D/Fail grading. Prerequisite: [PHYS498],[],,['PHYS_V 498'],[],[]
SCIE_V,SCIE_V 001,Science One,"An innovative first-year multi-disciplinary course incorporating biology, chemistry, mathematics, and physics with a strong focus on the connections between these traditional disciplines.  See the Science One website (www.scienceone.ubc.ca)  for further information and the application process for admission to SCIE 001. This course is not eligible for Credit/D/Fail grading. [12-6-4;12-6-4] Prerequisite: All of: CALC 12, ENGL 12, and Pre-calculus 12; two of: CHEM 12, PHYS 12, High School Biology (either BIOL 11 or BIOL 12).",[],,[],[],[]
SCIE_V,SCIE_V 100,First-Year Focus Seminar,Seminar for First-Year Focus option focused on discipline-specific learning strategies for academic success and community and scholarly engagement. This course is restricted to first-year students in the First-Year Focus option. Pass/Fail This course is not eligible for Credit/D/Fail grading. [1*-0-1*],[],,[],[],[]
SCIE_V,SCIE_V 500,Discipline-based Education Research Methodology,"Overview of methodological approaches to education research in disciplines having natural, physical, and life-science foundations. This course is not eligible for Credit/D/Fail grading. Equivalency: SCIE 400",[],,[],[],[]
